unicode,towncode,Male,Female,Age25,Age34,Age44,Age54,Age64,Age.L65,Popn
262,1219,1088,626,24,93,245,411,394,547,1714
263,1220,995,509,14,47,157,273,359,654,1504
264,1221,2580,1240,60,189,510,848,810,1403,3820
265,1222,1096,513,18,57,182,368,384,600,1609
266,1223,1516,687,20,85,219,433,520,926,2203
267,1224,1640,584,14,70,244,488,516,892,2224
268,1225,280,222,12,52,123,156,67,92,502
269,1226,562,301,18,95,197,256,145,152,863
270,1227,341,192,20,61,96,156,111,89,533
291,1301,2912,1947,114,516,893,1302,1027,1007,4859
292,1302,1513,859,32,170,421,596,581,572,2372
293,1303,1235,661,27,174,460,455,409,371,1896
294,1304,970,544,24,100,265,373,318,434,1514
295,1305,1028,390,20,72,197,374,351,404,1418
296,1306,1096,461,33,82,235,421,379,407,1557
297,1307,985,412,8,61,175,370,367,416,1397
298,1308,977,369,11,86,199,367,338,345,1346
299,1309,1201,455,15,61,235,416,381,548,1656
300,1310,819,293,14,60,135,308,260,335,1112
301,1311,764,324,10,31,87,231,257,472,1088
302,1312,813,338,7,61,136,272,293,382,1151
303,1313,1356,697,31,112,331,529,496,554,2053
304,1314,1197,479,18,51,179,390,409,629,1676
305,1315,764,344,5,46,128,242,284,403,1108
306,1316,865,412,13,83,171,296,337,377,1277
307,1317,1038,444,28,125,260,375,328,366,1482
308,1318,723,267,5,54,141,235,237,318,990
309,1319,1017,520,12,111,212,324,353,525,1537
310,1320,726,291,9,34,97,200,278,399,1017
311,1321,800,341,10,49,127,267,295,393,1141
312,1322,548,227,23,118,123,181,157,173,775
313,1323,760,455,13,63,137,224,266,512,1215
314,1324,769,421,8,55,122,222,288,495,1190
315,1325,807,441,16,73,171,275,300,413,1248
316,1326,672,535,25,80,195,330,264,313,1207
317,1327,345,218,6,26,77,129,128,197,563
318,1328,554,527,17,72,153,334,236,269,1081
319,1329,414,357,6,40,105,237,187,196,771
320,1330,864,777,67,118,280,471,372,333,1641
321,1331,543,462,17,74,136,275,241,262,1005
322,1332,554,493,16,44,162,323,279,223,1047
323,1333,672,554,25,87,165,340,298,311,1226
330,1401,2182,1400,94,272,687,915,784,830,3582
331,1402,543,372,20,41,119,201,235,299,915
332,1403,773,364,7,40,163,263,265,399,1137
333,1404,1037,634,19,110,269,398,382,493,1671
334,1405,592,318,12,25,107,180,230,356,910
335,1406,510,250,6,24,67,157,203,303,760
336,1407,516,470,11,25,67,195,250,438,986
337,1408,580,521,11,24,88,186,250,542,1101
338,1409,1496,955,30,170,363,579,582,727,2451
339,1410,688,527,23,84,164,301,283,360,1215
340,1411,368,154,8,58,86,122,123,125,522
341,1412,524,315,29,64,148,234,199,165,839
342,1413,391,253,25,49,117,178,158,117,644
343,1414,342,246,5,33,97,190,122,141,588
344,1415,503,360,17,71,128,244,206,197,863
345,1416,649,268,21,78,164,230,212,212,917
346,1501,1256,869,60,179,406,514,460,506,2125
347,1502,872,451,14,44,107,243,321,594,1323
348,1503,1335,841,14,111,290,457,503,801,2176
349,1504,1152,712,39,199,350,403,403,470,1864
350,1505,1172,738,32,187,441,494,415,341,1910
351,1506,964,511,61,84,184,326,294,526,1475
352,1507,915,657,11,27,154,357,383,640,1572
353,1508,494,529,12,46,127,222,234,382,1023
354,1509,982,578,12,43,151,335,405,614,1560
355,1510,1081,508,17,40,139,291,374,728,1589
356,1511,987,615,35,130,302,477,348,310,1602
357,1512,825,539,29,101,246,406,308,274,1364
358,1513,706,467,27,73,191,340,277,265,1173
324,1601,1517,697,75,237,432,512,392,566,2214
325,1602,738,311,11,89,162,186,188,413,1049
326,1603,698,234,11,63,94,222,181,361,932
327,1604,956,341,37,114,153,213,280,500,1297
328,1605,551,205,15,71,114,131,122,303,756
329,1606,449,215,7,38,103,117,118,281,664
42,1701,1769,1114,83,275,550,764,574,637,2883
43,1702,1887,1197,41,253,601,874,653,662,3084
44,1703,2050,1267,42,293,810,1046,570,556,3317
45,1704,1202,800,17,134,319,496,448,588,2002
46,1705,1284,939,29,161,443,572,483,535,2223
47,1706,1804,1332,54,346,698,848,642,548,3136
48,1707,1269,946,33,212,489,652,435,394,2215
49,1801,3066,2041,111,761,1286,1220,815,914,5107
50,1802,2906,1911,68,654,1177,1118,852,948,4817
51,1803,2248,1126,103,482,882,813,605,489,3374
90,1901,1313,941,37,169,319,504,530,695,2254
91,1902,3633,2538,120,770,1370,1615,1168,1128,6171
92,1903,3529,2876,235,966,1821,1579,1035,769,6405
93,1904,2632,2280,94,493,1099,1265,1010,951,4912
94,1905,3823,3599,310,915,1485,1948,1447,1317,7422
95,1906,3693,2812,237,886,1826,1897,989,670,6505
96,1907,3863,3012,123,904,2227,1968,993,660,6875
97,1908,3263,2587,114,628,1428,1773,1129,778,5850
271,2001,2934,2095,107,450,1064,1380,1009,1019,5029
272,2002,2542,1673,71,411,846,1109,823,955,4215
196,2101,2952,2432,132,520,1274,1440,1057,961,5384
197,2102,2437,1381,58,326,596,1069,893,876,3818
198,2104,2212,1601,63,412,741,905,861,831,3813
199,2106,2659,1457,73,513,802,1213,861,654,4116
200,2107,2374,1947,58,510,1277,1262,699,515,4321
201,2108,2430,1947,66,388,740,1124,886,1173,4377
30,6301,3148,2758,170,660,1109,1392,1252,1323,5906
31,6302,4200,3402,242,934,1246,1795,1617,1768,7602
32,6303,4036,3540,417,959,1313,1604,1528,1755,7576
33,6304,4618,4553,439,1361,1808,2123,1867,1573,9171
34,6305,4054,3243,417,1005,1174,1577,1429,1695,7297
35,6306,3611,3020,189,856,1242,1506,1351,1487,6631
36,6307,4090,3188,164,737,1238,1759,1586,1794,7278
37,6308,3818,3173,326,766,1485,1784,1365,1265,6991
38,6309,4001,2844,136,849,1385,1725,1413,1337,6845
39,6310,3933,3093,202,981,1550,2061,1396,836,7026
